title,description
Principles of Microeconomics,"<p data-block-key=""jfspm""><i>Principles of Microeconomics</i> covers the scope and sequence of most introductory microeconomics courses. The text includes many current examples, which are handled in a politically equitable way. The outcome is a balanced approach to the theory and application of economics concepts.</p><p data-block-key=""vkkjz""><br/><i>Principles of Microeconomics</i> PDF and web view versions have been updated to include current FRED (Federal Reserve Economic) data.<br/></p>"
Principles of Microeconomics 2e,"<p data-block-key=""8hpfk""><i>Principles of Microeconomics 2e</i> covers the scope and sequence of most introductory microeconomics courses. The text includes many current examples, which are handled in a politically equitable way. The outcome is a balanced approach to the theory and application of economics concepts. The second edition has been thoroughly revised to increase clarity, update data and current event impacts, and incorporate the feedback from many reviewers and adopters.<br/></p><p data-block-key=""9bu3c"">Changes made in <i>Principles of Microeconomics 2e</i> are described in the preface and the transition guide to help instructors transition to the second edition. The first edition of <i>Principles of Microeconomics</i> by OpenStax is available in web view <a href=""https://openstax.org/books/principles-microeconomics/pages/1-introduction"">here</a>.</p>"
Principles of Microeconomics 3e,"<p data-block-key=""n1rds""><i>Principles of Microeconomics 3e</i> covers the scope and sequence of most one semester introductory microeconomics courses. The third edition takes a balanced approach to the theory and application of microeconomics concepts. The text uses conversational language and ample illustrations to explore economic theories, and provides a wide array of examples using both fictional and real-world applications. The third edition has been carefully and thoroughly updated to reflect recent developments, as well as to provide a deeper background in diverse contributors and their impacts on economic thought and analysis. For example, the third edition highlights the research and views of a broader group of economists.</p><p data-block-key=""ap84j"">A fuller list of changes made in <i>Principles of Microeconomics 3e</i> are described in the preface and the transition guide to help instructors transition to the third edition.</p><p data-block-key=""e0lvf"">The second edition of <i>Principles of Microeconomics</i> by OpenStax is available in web view <a href=""https://openstax.org/books/principles-microeconomics-2e/pages/1-introduction"">here</a>.</p><p data-block-key=""50hlp"">OpenStax is retiring <i>Principles of Microeconomics</i> and <i>Principles of Macroeconomics</i> for AP 2e textbooks because they are outdated. We recommend that Advanced Placement instructors and students use the college-level textbooks.</p>"
Principles of Microeconomics for AP® Courses,"<p data-block-key=""4dawb""><i>Principles of Microeconomics for AP</i><i><sup>®</sup></i><i> Courses</i> covers scope and sequence requirements for an Advanced Placement<sup>®</sup> microeconomics course and is listed on the <a href=""http://www.collegeboard.com/html/apcourseaudit/courses/microeconomics_textbook_list.html"">College Board’s AP</a><sup>®</sup> example textbook list. The text includes many current examples, which are presented in a politically equitable way. The outcome is a balanced approach to the theory and application of economics concepts.</p><p data-block-key=""gg5g6""><br/><i>Principles of Microeconomics for AP</i><i><sup>®</sup></i><i> Courses</i> PDF and web view versions have been updated to include current FRED (Federal Reserve Economic) data.</p><p data-block-key=""oyy3m""></p><p data-block-key=""47k4l"">Changes made in <i>Principles of Microeconomics for AP® Courses 2e</i> are described in the preface and the transition guide to help instructors transition to the second edition. The first edition of <i>Principles of Microeconomics for AP® Courses</i> by OpenStax is available in web view <a href=""http://cnx.org/contents/ca344e2d-6731-43cd-b851-a7b3aa0b37aa"">here</a>.</p>"
Principles of Microeconomics for AP® Courses 2e,"<p data-block-key=""qt949""><i>Principles of Microeconomics for AP</i><i><sup>®</sup></i><i> Courses 2e</i> covers the scope and sequence requirements for an Advanced Placement<sup>®</sup> microeconomics course and is listed on the <a href=""https://cb.collegeboard.org/ap-course-audit/courses/microeconomics_textbook_list.html"">College Board’s AP® example textbook list</a>. The second edition includes many current examples and recent data from FRED (Federal Reserve Economic Data), which are presented in a politically equitable way. The outcome is a balanced approach to the theory and application of economics concepts.</p><p data-block-key=""xufcy""><br/>The second edition was developed with significant feedback from current users. In nearly all chapters, it follows the same basic structure of the first edition. General descriptions of the edits are provided in the preface, and a chapter-by-chapter transition guide is available for instructors. The first edition of <i>Principles of Microeconomics for AP® Courses</i> by OpenStax is available in web view <a href=""https://openstax.org/books/principles-microeconomics-ap-courses/pages/1-introduction"">here</a>.</p>"
Psychologia,"<p data-block-key=""a4iiv""></p><p data-block-key=""v3d15""><i>Psychologia</i> powstała z myślą o studentach jednosemestralnego kursu wstęp do psychologii. Podręcznik jest obszernym omówieniem wszystkich podstawowych zagadnień w ujęciu klasycznym z uwzględnieniem wiedzy najnowszej. Książka zawiera również opis zaburzeń psychicznych i wprowadza terminologię zgodną z DSM-5 oraz ICD. Wydanie jest polską adaptacją wydania drugiego aktualizowanego <i>Psychology 2e</i> OpenStax.</p><p data-block-key=""ycjpp"">Publikacja została dostosowana do potrzeb polskich studentów i wymogów na uczelniach w Polsce. Uwzględniona została potrzeba lokalizacji kulturowej. Szersze modyfikacje wprowadzono w rozdziałach „Badania”, „Emocje i motywacje”, „Osobowość” oraz „Psychologia społeczna”, a rozdział poświęcony psychologii pracy i organizacji został stworzony w całości na potrzeby polskiego czytelnika.</p>"
Psychology,"<p data-block-key=""jea23""><i>Psychology</i> is designed to meet scope and sequence requirements for the single-semester introduction to psychology course. The book offers a comprehensive treatment of core concepts, grounded in both classic studies and current and emerging research. The text also includes coverage of the DSM-5 in examinations of psychological disorders. <i>Psychology</i> incorporates discussions that reflect the diversity within the discipline, as well as the diversity of cultures and communities across the globe.</p>"
Psychology 2e,"<p data-block-key=""nsogo""><i>Psychology 2e</i> is designed to meet scope and sequence requirements for the single-semester introduction to psychology course. The book offers a comprehensive treatment of core concepts, grounded in both classic studies and current and emerging research. The text also includes coverage of the DSM-5 in examinations of psychological disorders. <i>Psychology</i> incorporates discussions that reflect the diversity within the discipline, as well as the diversity of cultures and communities across the globe.</p><p data-block-key=""0125l""><br/>The second edition contains detailed updates to address comments and suggestions from users. Significant improvements and additions were made in the areas of research currency, diversity and representation, and the relevance and recency of the examples. Many concepts were expanded or clarified, particularly through the judicious addition of detail and further explanation where necessary. Finally, the authors addressed the replication issues in the psychology discipline, both in the research chapter and where appropriate throughout the book.<br/></p><p data-block-key=""v9m44"">Changes made in <i>Psychology 2e</i> are described in the preface to help instructors transition to the second edition. The first edition of <i>Psychology</i> by OpenStax is available in web view <a href=""https://openstax.org/books/psychology/pages/1-introduction"">here</a>.</p>"
Statistics,"<p data-block-key=""zsa89"">This <i>Statistics</i> resource was developed under the guidance and support of experienced high school teachers and subject matter experts. It is presented here in multiple formats: PDF, online, and low-cost print. <i>Statistics</i> offers instruction in grade-level appropriate concepts and skills in a logical, engaging progression that begins with sampling and data and covers topics such as probability, random variables, the normal distribution, and hypothesis testing. This content was developed with students in mind, incorporating statistics labs, worked exercises, and additional opportunities for assessment that incorporate real-world statistical applications. For instructors, resources are available to support the implementation of the Statistics textbook, including a Getting Started Guide, direct instruction presentations, and a solutions manual.</p>"
U.S. History,"<p data-block-key=""nzmkl""><i>U.S. History</i> is designed to meet the scope and sequence requirements of most introductory courses. The text provides a balanced approach to U.S. history, considering the people, events, and ideas that have shaped the United States from both the top down (politics, economics, diplomacy) and bottom up (eyewitness accounts, lived experience). <i>U.S. History</i> covers key forces that form the American experience, with particular attention to issues of race, class, and gender.<br/></p>"
University Physics Volume 1,"<p data-block-key=""ae4j7""><i>University Physics</i> is a three-volume collection that meets the scope and sequence requirements for two- and three-semester calculus-based physics courses. <i>Volume 1</i> covers mechanics, sound, oscillations, and waves. <a href=""https://openstax.org/details/books/university-physics-volume-2""><i>Volume 2</i></a> covers thermodynamics, electricity and magnetism, and <a href=""https://openstax.org/details/books/university-physics-volume-3""><i>Volume 3</i></a> covers optics and modern physics. This textbook emphasizes connections between theory and application, making physics concepts interesting and accessible to students while maintaining the mathematical rigor inherent in the subject. Frequent, strong examples focus on how to approach a problem, how to work with the equations, and how to check and generalize the result.<br/></p>"
University Physics Volume 2,"<p data-block-key=""uqipz""><i>University Physics</i> is a three-volume collection that meets the scope and sequence requirements for two- and three-semester calculus-based physics courses. <a href=""https://openstax.org/details/books/university-physics-volume-1""><i>Volume 1</i></a> covers mechanics, sound, oscillations, and waves. <i>Volume 2</i> covers thermodynamics, electricity and magnetism, and <a href=""https://openstax.org/details/books/university-physics-volume-3""><i>Volume 3</i></a> covers optics and modern physics. This textbook emphasizes connections between theory and application, making physics concepts interesting and accessible to students while maintaining the mathematical rigor inherent in the subject. Frequent, strong examples focus on how to approach a problem, how to work with the equations, and how to check and generalize the result.<br/></p>"
"World History, Volume 1: to 1500","<p data-block-key=""ko1gu""><i>World History, Volume 1: to 1500</i> is designed to meet the scope and sequence of a world history course to 1500 offered at both two-year and four-year institutions. Suitable for both majors and non majors <i>World History, Volume 1: to 1500</i> introduces students to a global perspective of history couched in an engaging narrative. Concepts and assessments help students think critically about the issues they encounter so they can broaden their perspective of global history. A special effort has been made to introduce and juxtapose people’s experiences of history for a rich and nuanced discussion. Primary source material represents the cultures being discussed from a firsthand perspective whenever possible. <i>World History, Volume 1: to 1500</i> also includes the work of diverse and underrepresented scholars to ensure a full range of perspectives.</p>"
University Physics Volume 3,"<p data-block-key=""xo9b3""><i>University Physics</i> is a three-volume collection that meets the scope and sequence requirements for two- and three-semester calculus-based physics courses. <a href=""https://openstax.org/details/books/university-physics-volume-1""><i>Volume 1</i></a> covers mechanics, sound, oscillations, and waves. <a href=""https://openstax.org/details/books/university-physics-volume-2""><i>Volume 2</i></a> covers thermodynamics, electricity, and magnetism, and <i>Volume 3</i> covers optics and modern physics. This textbook emphasizes connections between theory and application, making physics concepts interesting and accessible to students while maintaining the mathematical rigor inherent in the subject. Frequent, strong examples focus on how to approach a problem, how to work with the equations, and how to check and generalize the result.</p>"
Workplace Software and Skills,"<p data-block-key=""aps7r""><i>Workplace Software and Skills</i> is designed to flexibly support a range of courses covering computer literacy, Microsoft Office, and Google Suite applications. The textbook covers both hard and soft skills that are applicable to a broad range of academic majors and careers. Chapters combine studio learning and guided practice with scaffolded activities designed to reinforce a student’s ability to perform higher-order tasks independently. <i>Workplace Software and Skills</i> leverages complementary product features in spreadsheet, word processing, presentation, and similar applications. Modules are designed for maximum flexibility by including both Microsoft Office Suite and Google Suite applications, in order to best reflect the skills needed for today’s workforce. Authentic activities and real-world contexts develop a cumulative and thorough understanding, which reinforces the importance of cross-platform proficiency. Highly visible features also note Apple/Mac functions as needed.</p><p data-block-key=""b97j8""></p>"
"World History, Volume 2: from 1400","<p data-block-key=""ko1gu""><i>World History, Volume 2: from 1400</i> is designed to meet the scope and sequence of a world history course from 1400 offered at both two-year and four-year institutions. Suitable for both majors and non majors <i>World History, Volume 2: from 1400</i> introduces students to a global perspective of history couched in an engaging narrative. Concepts and assessments help students think critically about the issues they encounter so they can broaden their perspective of global history. A special effort has been made to introduce and juxtapose people’s experiences of history for a rich and nuanced discussion. Primary source material represents the cultures being discussed from a firsthand perspective whenever possible. <i>World History, Volume 2: from 1400</i> also includes the work of diverse and underrepresented scholars to ensure a full range of perspectives.<br/></p>"
Writing Guide with Handbook,"<p data-block-key=""fhib0""><i>Writing Guide with Handbook</i> aligns to the goals, topics, and objectives of many first-year writing and composition courses. It is organized according to relevant genres, and focuses on the writing process, effective writing practices or strategies—including graphic organizers, writing frames, and word banks to support visual learning—and conventions of usage and style. The text includes an editing and documentation handbook, which provides information on grammar and mechanics, common usage errors, and citation styles.</p><p data-block-key=""cpsne""><i>Writing Guide with Handbook</i> breaks down barriers in the field of composition by offering an inviting and inclusive approach to students of all intersectional identities. To meet this goal, the text creates a reciprocal relationship between everyday rhetoric and the evolving world of academia. <i>Writing Guide with Handbook</i> builds on students’ life experiences and their participation in rhetorical communities within the familiar contexts of personal interaction and social media. The text seeks to extend these existing skills by showing students how to construct a variety of compelling compositions in a variety of formats, situations, and contexts.</p><p data-block-key=""88srt"">The authors conceived and developed <i>Writing Guide with Handbook</i> in 2020; its content and learning experiences reflect the instructional, societal, and individual challenges students have faced. The authors invite students and instructors to practice invitational discussions even as they engage in verbal and written argument. Instructors will be empowered to emphasize meaning and voice and to teach empathy as a rhetorical strategy. Students will be empowered to negotiate their identities and their cultures through language as they join us in writing, discovering, learning, and creating.</p><p data-block-key=""2l4dc""></p><p data-block-key=""4ui4t"">If you have encountered a white screen while accessing your OpenStax textbook, our developers suggest closing all of your <a href=""http://openstax.org/"">OpenStax.org</a> tabs and then loading the book again.</p>"
Pharmacology for Nurses,"<p data-block-key=""nttni""><i>Pharmacology for Nurses</i> is intended for nursing students in an introductory program. It provides a fundamental understanding of the therapeutic use of drugs, so the nurse can provide safe and effective care to the client. Along with a discussion of each body system, the text also reviews the pathophysiology of various disease processes and medications used in treatment. The table of contents presents 40 chapter topics, organized into 11 units. The first unit, consisting of 3 chapters, provides a broad overview of pharmacology, with the following 10 units focused on specific body systems.</p><p data-block-key=""d99o5""><i>Pharmacology for Nurses</i> helps students prepare for the licensing exam and their careers by offering applicable, real-life content in short, manageable sections. The material focuses on common client conditions that nurses will encounter throughout their career and embraces a skills orientation (what does a nurse <i>do</i>). The text presents information in a holistic manner that ties the disease process to its pharmacological treatment. As a result, <i>Pharmacology for Nurses</i> will give students the confidence to safely administer medications to clients, as well as provide medication education to clients and their caregivers.</p><p data-block-key=""b9dpe""></p>"
Nutrition for Nurses,"<p data-block-key=""le1u1""><i>Nutrition for Nurses</i> is structured to support the flexible integration of nutrition content across both system-based and nursing competency-based curricula. It can be used whether nutrition is taught as a standalone course or part of another nursing course. The table of contents for <i>Nutrition for Nurses</i> presents content in 20 chapters, organized into 9 thematic units.</p><p data-block-key=""1ps6i"">The text emphasizes evidence-based practice and holistic assessment to facilitate the integration of nutritional awareness for pre-licensure nursing students in the provision of client-centered care. <i>Nutrition for Nurses</i> helps students develop sound clinical judgment as well as a deep understanding of the impact of nutrition on body systems across the lifespan.</p><p data-block-key=""95bp0"">Written and reviewed by highly experienced faculty, <i>Nutrition for Nurses</i> includes a detailed narrative, extensive features and learning resources, and ample student support. The presentation utilizes concepts promoting the development of clinical judgment by building upon the systematic model developed by the National Council of State Boards of Nursing (NCSBN).</p><p data-block-key=""3s1t7""></p>"
Population Health for Nurses,"<p data-block-key=""b6v71""><i>Population Health for Nurses</i> prepares nurses to develop interventions, policies, and practices that promote health equity and improved health outcomes across the health care delivery continuum. The text emphasizes the social determinants of health and how nurses can plan and implement health promotion and disease prevention interventions. It takes a holistic perspective, connecting human health behavior to the dynamic, ongoing interactions of the person, social factors, and the physical environment in which people are born, live, learn, play, work, and age.</p><p data-block-key=""186ld"">OpenStax<i> Population Health for Nurses</i> uses a logical, thematic organization that breaks down content into manageable chunks. It presents the material in 35 chapters, organized into 7 thematic units. The text defines and distinguishes among the interrelated nursing areas of population health, public health, and community health nursing, providing both historical context and up-to-date research to help students make connections across content that can inform practice. The result is a holistic approach that applies theoretical concepts to the practical assessment, diagnosis, planning, implementation, and evaluation steps of client care and community-tailored interventions.</p><p data-block-key=""5krvq""></p>"
Introduction to Python Programming,"<p data-block-key=""uivul""><i>Introduction to Python Programming</i> provides a comprehensive foundation in programming concepts and skills, and it is aligned to the scope of most introductory courses. A wide array of scenarios, contexts, and problems reflect programming applications in many disciplines and careers. The offering is suitable for a diverse learner audience, including those pursuing computer science, business, science, social science, statistics, data science, and related areas of study and employment.</p><p data-block-key=""62u8v""><i>Introduction to Python Programming</i> is an interactive offering that teaches basic programming concepts, problem-solving skills, and the Python language using hands-on activities. The resource includes a unique, integrated code runner through which students can immediately apply what they learn to check their understanding. Embedded videos, critical thinking exercises, and explorations of external programming tools and activities all contribute to a meaningful and supportive learning experience.</p>"
